ID,Abdullah Yusuf Ali,tag_1,tag_2
1|1,"In the name of Allah, Most Gracious, Most Merciful.",,"['allah-mercy', 'divine-love']"
1|2,"Praise be to Allah, the Cherisher and Sustainer of the worlds;",,"['divine-mercy', 'allah-power']"
1|3,"Most Gracious, Most Merciful;",,"['allah-mercy', 'divine-love']"
1|4,Master of the Day of Judgment.,,"['divine-justice', 'day-judgment']"
1|5,"Thee do we worship, and Thine aid we seek.",,"['spiritual-connection', 'divine-dependence']"
1|6,"Show us the straight way,",,"['divine-guidance', 'spiritual-direction']"
1|7,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",,"['divine-guidance', 'spiritual-direction']"
2|1,A. L. M.,,"['Divine Mystery', 'Revelation Introduction']"
2|2,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;",,"['Divine Guidance', 'Righteous Fear']"
2|3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;",,"['Faith in Unseen', 'Righteous Deeds']"
2|4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",,"['Faith in Revelation', 'Assurance of Hereafter']"
2|5,"They are on (true) guidance, from their Lord, and it is these who will prosper.",,"['divine-guidance', 'spiritual-success']"
2|6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",,"['Divine Justice', 'Faith Rejection']"
2|7,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",,"['Divine Punishment', 'Spiritual Blindness']"
2|8,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.",,"['hypocrisy-warning', 'faith-integrity']"
2|9,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!",,"['self-deception', 'divine-justice']"
2|10,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).",,"['spiritual-corruption', 'divine-justice']"
2|11,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!""",,"['hypocrisy-exposed', 'moral-deception']"
2|12,"Of a surety, they are the ones who make mischief, but they realise (it) not.",,"['Moral Blindness', 'Spiritual Deception']"
2|13,"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know.",,"['hypocrisy-exposure', 'true-folly']"
