ID,TRANSLATION,tag_1,tag_2
91|1,By the Sun and his (glorious) splendour;,By the Sun and his (glorious) splendour;,"divine-power, creation-glory"
91|2,By the Moon as she follows him;,By the Moon as she follows him;,"Divine Order, Cosmic Harmony"
91|3,By the Day as it shows up (the Sun's) glory;,By the Day as it shows up (the Sun's) glory;,"Divine Manifestation, Cosmic Revelation"
91|4,By the Night as it conceals it;,By the Night as it conceals it;,"Divine Providence, Cosmic Balance"
91|5,By the Firmament and its (wonderful) structure;,By the Firmament and its (wonderful) structure;,"Divine Creation, Cosmic Order"
91|6,By the Earth and its (wide) expanse:,By the Earth and its (wide) expanse:,"Divine Creation, Cosmic Order"
91|7,"By the Soul, and the proportion and order given to it;","By the Soul, and the proportion and order given to it;","Moral Accountability, Divine Providence"
91|8,And its enlightenment as to its wrong and its right;-,And its enlightenment as to its wrong and its right;,"Moral Guidance, Self Awareness"
91|9,"Truly he succeeds that purifies it,","Truly he succeeds that purifies it,","spiritual-success, self-purification"
91|10,And he fails that corrupts it!,And he fails that corrupts it!,"Moral Corruption, Spiritual Failure"
91|11,"The Thamud (people) rejected (their prophet) through their inordinate wrong-doing,","The Thamud (people) rejected (their prophet) through their inordinate wrong-doing,","Divine Rejection, Moral Transgression"
91|12,"Behold, the most wicked man among them was deputed (for impiety).","Behold, the most wicked man among them was deputed (for impiety).","Divine Justice, Moral Corruption"
91|13,"But the Messenger of Allah said to them: ""It is a She-camel of Allah! And (bar her not from) having her drink!""","But the Messenger of Allah said to them: ""It is a She-camel of Allah! And (bar her not from) having her drink!""","divine-signs, prophet-guidance"
91|14,"Then they rejected him (as a false prophet), and they hamstrung her. So their Lord, on account of their crime, obliterated their traces and made them equal (in destruction, high and low)!","Then they rejected him (as a false prophet), and they hamstrung her. So their Lord, on account of their crime, obliterated their traces and made them equal (in destruction, high and low)!","divine-justice, prophet-rejection"
91|15,And for Him is no fear of its consequences.,And for Him is no fear of its consequences.,"Divine Omnipotence, Allah Power"
92|1,By the Night as it conceals (the light);,By the Night as it conceals (the light);,"Divine Oaths, Cosmic Signs"
92|2,By the Day as it appears in glory;,By the Day as it appears in glory;,"divine-power, day-judgment"
92|3,By (the mystery of) the creation of male and female;-,By (the mystery of) the creation of male and female;,"divine-power, human-nature"
92|4,"Verily, (the ends) ye strive for are diverse.","Verily, (the ends) ye strive for are diverse.","Diverse Aspirations, Human Variability"
92|5,"So he who gives (in charity) and fears (Allah),","So he who gives (in charity) and fears (Allah),","divine-fear, generosity-giving"
92|6,"And (in all sincerity) testifies to the best,-","And (in all sincerity) testifies to the best,-","honesty-truth, good-character"
92|7,We will indeed make smooth for him the path to Bliss.,We will indeed make smooth for him the path to Bliss.,"Divine-Reward, Spiritual-Guidance"
92|8,"But he who is a greedy miser and thinks himself self-sufficient,","But he who is a greedy miser and thinks himself self-sufficient,","Moral Corruption, Spiritual Poverty"
92|9,"And gives the lie to the best,-","And gives the lie to the best,-","Divine Rejection, Moral Denial"
92|10,We will indeed make smooth for him the path to Misery;,We will indeed make smooth for him the path to Misery;,"divine-justice, moral-consequences"
