ID,TRANSLATION,tag_1,tag_2
91|1,By the Sun and his (glorious) splendour;,By the Sun and his (glorious) splendour;,"divine-power, cosmic-creation"
91|2,By the Moon as she follows him;,By the Moon as she follows him;,"divine-order, cosmic-harmony"
91|3,By the Day as it shows up (the Sun's) glory;,By the Day as it shows up (the Sun's) glory;,"divine-power, cosmic-creation"
91|4,By the Night as it conceals it;,By the Night as it conceals it;,"divine-power, cosmic-balance"
91|5,By the Firmament and its (wonderful) structure;,By the Firmament and its (wonderful) structure;,"Divine Creation, Cosmic Order"
91|6,By the Earth and its (wide) expanse:,By the Earth and its (wide) expanse:,"Divine Creation, Cosmic Order"
91|7,"By the Soul, and the proportion and order given to it;","By the Soul, and the proportion and order given to it;","moral-accountability, divine-provisioning"
91|8,And its enlightenment as to its wrong and its right;-,And its enlightenment as to its wrong and its right;,"Moral Guidance, Spiritual Awareness"
91|9,"Truly he succeeds that purifies it,","Truly he succeeds that purifies it,","spiritual-success, self-purification"
91|10,And he fails that corrupts it!,And he fails that corrupts it!,"moral-accountability, spiritual-corruption"
91|11,"The Thamud (people) rejected (their prophet) through their inordinate wrong-doing,","The Thamud (people) rejected (their prophet) through their inordinate wrong-doing,","divine-justice, prophet-rejection"
91|12,"Behold, the most wicked man among them was deputed (for impiety).","Behold, the most wicked man among them was deputed (for impiety).","Divine Justice, Moral Corruption"
91|13,"But the Messenger of Allah said to them: ""It is a She-camel of Allah! And (bar her not from) having her drink!""","But the Messenger of Allah said to them: ""It is a She-camel of Allah! And (bar her not from) having her drink!""","divine-signs, prophet-guidance"
91|14,"Then they rejected him (as a false prophet), and they hamstrung her. So their Lord, on account of their crime, obliterated their traces and made them equal (in destruction, high and low)!","Then they rejected him (as a false prophet), and they hamstrung her. So their Lord, on account of their crime, obliterated their traces and made them equal (in destruction, high and low)!","divine-justice, prophet-rejection"
91|15,And for Him is no fear of its consequences.,And for Him is no fear of its consequences.,"divine-power, allah-names"
92|1,By the Night as it conceals (the light);,By the Night as it conceals (the light);,"divine-power, cosmic-contrast"
92|2,By the Day as it appears in glory;,By the Day as it appears in glory;,"Divine Manifestation, Cosmic Balance"
92|3,By (the mystery of) the creation of male and female;-,By (the mystery of) the creation of male and female;,"human-nature, divine-creation"
92|4,"Verily, (the ends) ye strive for are diverse.","Verily, (the ends) ye strive for are diverse.","human-diversity, moral-orientation"
92|5,"So he who gives (in charity) and fears (Allah),","So he who gives (in charity) and fears (Allah),","generosity-giving, divine-fear"
92|6,"And (in all sincerity) testifies to the best,-","And (in all sincerity) testifies to the best,-","honesty-truth, righteous-living"
92|7,We will indeed make smooth for him the path to Bliss.,We will indeed make smooth for him the path to Bliss.,"divine-mercy, spiritual-reward"
92|8,"But he who is a greedy miser and thinks himself self-sufficient,","But he who is a greedy miser and thinks himself self-sufficient,","moral-failure, spiritual-arrogance"
92|9,"And gives the lie to the best,-","And gives the lie to the best,-","Divine Rejection, Moral Accountability"
92|10,We will indeed make smooth for him the path to Misery;,We will indeed make smooth for him the path to Misery;,"divine-justice, hell-warning"
92|11,Nor will his wealth profit him when he falls headlong (into the Pit).,Nor will his wealth profit him when he falls headlong (into the Pit).,"divine-justice, material-futility"
92|12,"Verily We take upon Ourselves to guide,",Verily We take upon Ourselves to guide,"divine-guidance, allah-mercy"
92|13,And verily unto Us (belong) the End and the Beginning.,And verily unto Us (belong) the End and the Beginning.,"Divine Sovereignty, Eternal Dominion"
92|14,Therefore do I warn you of a Fire blazing fiercely;,Therefore do I warn you of a Fire blazing fiercely;,"hell-warning, divine-justice"
92|15,None shall reach it but those most unfortunate ones,None shall reach it but those most unfortunate ones,"divine-justice, hell-warning"
92|16,Who give the lie to Truth and turn their backs.,Who give the lie to Truth and turn their backs.,"Divine Rejection, Moral Accountability"
92|17,"But those most devoted to Allah shall be removed far from it,-","But those most devoted to Allah shall be removed far from it,-","divine-love, spiritual-connection"
92|18,"Those who spend their wealth for increase in self-purification,","Those who spend their wealth for increase in self-purification,","self-purification, generosity-giving"
92|19,"And have in their minds no favour from anyone for which a reward is expected in return,","And have in their minds no favour from anyone for which a reward is expected in return,","selfless-intention, divine-pleasing"
92|20,But only the desire to seek for the Countenance of their Lord Most High;,But only the desire to seek for the Countenance of their Lord Most High;,"divine-pleasure, spiritual-motivation"
92|21,And soon will they attain (complete) satisfaction.,And soon will they attain (complete) satisfaction.,"divine-reward, spiritual-fulfillment"
93|1,"By the Glorious Morning Light,","By the Glorious Morning Light,","divine-power, spiritual-illumination"
93|2,"And by the Night when it is still,-","And by the Night when it is still,-","divine-serenity, spiritual-reflection"
93|3,"Thy Guardian-Lord hath not forsaken thee, nor is He displeased.","Thy Guardian-Lord hath not forsaken thee, nor is He displeased.","divine-love, allah-mercy"
93|4,And verily the Hereafter will be better for thee than the present.,And verily the Hereafter will be better for thee than the present.,"divine-reward, afterlife-promise"
93|5,And soon will thy Guardian-Lord give thee (that wherewith) thou shalt be well-pleased.,And soon will thy Guardian-Lord give thee (that wherewith) thou shalt be well-pleased.,"divine-love, divine-mercy"
93|6,Did He not find thee an orphan and give thee shelter (and care)?,Did He not find thee an orphan and give thee shelter (and care)?,"divine-love, allah-mercy"
93|7,"And He found thee wandering, and He gave thee guidance.","And He found thee wandering, and He gave thee guidance.","divine-guidance, spiritual-direction"
93|8,"And He found thee in need, and made thee independent.","And He found thee in need, and made thee independent.","divine-provision, spiritual-sufficiency"
93|9,"Therefore, treat not the orphan with harshness,","Therefore, treat not the orphan with harshness,","kindness-compassion, social-responsibility"
93|10,Nor repulse the petitioner (unheard);,Nor repulse the petitioner (unheard);,"kindness-compassion, generosity-giving"
93|11,But the bounty of the Lord - rehearse and proclaim!,But the bounty of the Lord - rehearse and proclaim!,"Divine Bounty, Gratitude Proclamation"
94|1,Have We not expanded thee thy breast?-,Have We not expanded thee thy breast?-,"divine-love, spiritual-relief"
94|2,And removed from thee thy burden,And removed from thee thy burden,"divine-mercy, spiritual-relief"
94|3,The which did gall thy back?-,The which did gall thy back?,"divine-relief, prophetic-burden"
94|4,And raised high the esteem (in which) thou (art held)?,And raised high the esteem (in which) thou (art held)?,"Divine Honor, Prophetic Elevation"
94|5,"So, verily, with every difficulty, there is relief:","So, verily, with every difficulty, there is relief:","divine-mercy, hope-encouragement"
94|6,"Verily, with every difficulty there is relief.","Verily, with every difficulty there is relief.","divine-mercy, hope-encouragement"
94|7,"Therefore, when thou art free (from thine immediate task), still labour hard,","Therefore, when thou art free (from thine immediate task), still labour hard,","perseverance-diligence, spiritual-devotion"
94|8,And to thy Lord turn (all) thy attention.,And to thy Lord turn (all) thy attention.,"spiritual-connection, divine-focus"
95|1,"By the Fig and the Olive,","By the Fig and the Olive,","divine-oath, sacred-symbols"
95|2,"And the Mount of Sinai,","And the Mount of Sinai,","divine-revelation, sacred-landmarks"
95|3,"And this City of security,-","And this City of security,-","divine-protection, sacred-space"
95|4,"We have indeed created man in the best of moulds,","We have indeed created man in the best of moulds,","human-dignity, divine-creation"
95|5,"Then do We abase him (to be) the lowest of the low,-","Then do We abase him (to be) the lowest of the low,-","divine-justice, human-condition"
95|6,Except such as believe and do righteous deeds: For they shall have a reward unfailing.,Except such as believe and do righteous deeds: For they shall have a reward unfailing.,"divine-reward, righteous-living"
95|7,"Then what can, after this, contradict thee, as to the judgment (to come)?","Then what can, after this, contradict thee, as to the judgment (to come)?","divine-justice, day-judgment"
95|8,Is not Allah the wisest of judges?,Is not Allah the wisest of judges?,"divine-justice, allah-wisdom"
96|1,"Proclaim! (or read!) in the name of thy Lord and Cherisher, Who created-","Proclaim! (or read!) in the name of thy Lord and Cherisher, Who created-","divine-creativity, prophetic-mission"
96|2,"Created man, out of a (mere) clot of congealed blood:","Created man, out of a (mere) clot of congealed blood:","divine-power, human-origin"
96|3,"Proclaim! And thy Lord is Most Bountiful,-","Proclaim! And thy Lord is Most Bountiful,-","divine-mercy, divine-generosity"
96|4,"He Who taught (the use of) the pen,-","He Who taught (the use of) the pen,-","divine-knowledge, allah-mercy"
96|5,Taught man that which he knew not.,Taught man that which he knew not.,"divine-knowledge, human-empowerment"
96|6,"Nay, but man doth transgress all bounds,","Nay, but man doth transgress all bounds,","human-arrogance, moral-transgression"
96|7,In that he looketh upon himself as self-sufficient.,In that he looketh upon himself as self-sufficient.,"self-sufficiency-illusion, divine-dependence"
96|8,"Verily, to thy Lord is the return (of all).","Verily, to thy Lord is the return (of all).","divine-justice, life-after-death"
96|9,Seest thou one who forbids-,Seest thou one who forbids-,"divine-justice, moral-responsibility"
96|10,A votary when he (turns) to pray?,A votary when he (turns) to pray?,"spiritual-connection, prayer-guidance"
96|11,Seest thou if he is on (the road of) Guidance?-,Seest thou if he is on (the road of) Guidance?-,"Guidance-Seeking, Righteous-Living"
96|12,Or enjoins Righteousness?,Or enjoins Righteousness?,"Moral Guidance, Righteous Living"
96|13,Seest thou if he denies (Truth) and turns away?,Seest thou if he denies (Truth) and turns away?,"Divine Justice, Moral Accountability"
96|14,Knoweth he not that Allah doth see?,Knoweth he not that Allah doth see?,"divine-omniscience, divine-justice"
96|15,"Let him beware! If he desist not, We will drag him by the forelock,-","Let him beware! If he desist not, We will drag him by the forelock,","divine-justice, divine-warning"
96|16,"A lying, sinful forelock!","A lying, sinful forelock!","moral-condemnation, divine-reprimand"
96|17,"Then, let him call (for help) to his council (of comrades):","Then, let him call (for help) to his council (of comrades):","divine-justice, divine-response"
96|18,We will call on the angels of punishment (to deal with him)!,We will call on the angels of punishment (to deal with him)!,"divine-justice, divine-punishment"
96|19,"Nay, heed him not: But bow down in adoration, and bring thyself the closer (to Allah)!","Nay, heed him not: But bow down in adoration, and bring thyself the closer (to Allah)!","spiritual-connection, divine-love"
97|1,We have indeed revealed this (Message) in the Night of Power:,We have indeed revealed this (Message) in the Night of Power:,"divine-revelation, spiritual-significance"
